id,status,notes,db_name,source_name,db_brand,db_model,db_reference,source_reference,db_price,source_price,db_image_count,source_image_count,image,source_url
avi-audemars-piguet-code-11-59-26393or-oo-a002kb-02-purple-dia,mismatch,name;reference,"Audemars Piguet Code 11.59 26393OR, Chronograph, 18K Rose Gold, Purple Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393OR.OO.A002KB.02,37900,37900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393or-oo-a002kb-02-f617e27cb4b2a9d4.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393or-oo-a002kb-02-purple-dial-g026393or-oo-a002kb-02-001
avi-audemars-piguet-code-11-59-26393or-oo-a002kb-03-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393OR, Chronograph, 18K Rose Gold, Blue Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393OR.OO.A002KB.03,33900,33900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393or-oo-a002kb-03-28b2bffcf66bdf0f.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393or-oo-a002kb-03-blue-dial-g026393or-oo-a002kb-03-001
avi-audemars-piguet-code-11-59-26393or-oo-a027kb-01-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393OR, Chronograph, 18K Rose Gold, Blue Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393OR.OO.A027KB.01,35900,35900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393or-oo-a027kb-01-d1da701884d03459.png,https://www.aviandco.com/audemars-piguet-code-11-59-26393or-oo-a027kb-01-blue-dial-g026393or-oo-a027kb-01-002
avi-audemars-piguet-code-11-59-26393qt-oo-a064kb-01-beige-dial,mismatch,name;reference,"Audemars Piguet Code 11.59 26393QT, Chronograph, Steel, Beige Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393QT.OO.A064KB.01,32900,32900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393qt-oo-a064kb-01-43e79514a99df9a7.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393qt-oo-a064kb-01-beige-dial-g026393qt-oo-a064kb-01-001
avi-audemars-piguet-code-11-59-26393st-oo-a056kb-01-green-dial,mismatch,name;reference,"Audemars Piguet Code 11.59 26393ST, Chronograph, Steel, Green Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393ST.OO.A056KB.01,30900,30900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393st-oo-a056kb-01-1-af7346679b02b950.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393st-oo-a056kb-01-green-dial-g026393st-oo-a056kb-01-001
avi-audemars-piguet-code-11-59-26393st-oo-a348kb-01-blue-dial-,mismatch,name;reference,"Audemars Piguet Code 11.59 26393ST, Chronograph, Steel, Blue Index Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26393ST.OO.A348KB.01,30900,30900.0,3,3,/api/uploads/aviandco/products/ap-code-11-59-26393st-oo-a348kb-01-e380ea39cb2d3de3.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26393st-oo-a348kb-01-blue-dial-g026393st-oo-a348kb-01-001
avi-audemars-piguet-code-11-59-26396bc-oo-d321cr-01-blue-dial-,mismatch,name,"Audemars Piguet Code 11.59 26396BC, Flying Tourbillon, 18K White Gold, Smoked Blue Dial, 41 mm",This site can’t be reached,Audemars Piguet,NULL,NULL,,0,0,3,0,/api/uploads/aviandco/products/26396bc-002-1-37c0d3e3e9c9f849.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26396bc-oo-d321cr-01-blue-dial-26396bc-002
avi-audemars-piguet-code-11-59-26396nr-oo-d002kb-01-green-dial,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26396NR, Flying Tourbillon, 18K Rose Gold, Smoked Green Aventurine Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26396NR.OO.D002KB.01,0,125900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-26396nr-001-1-fc92a27aafa6e3a6.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26396nr-oo-d002kb-01-green-dial-26396nr-001
avi-audemars-piguet-code-11-59-26441or-green-dial-g026441or-00,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26441OR, Rose Gold, Green Dial, 38 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26441OR,0,110900.0,3,3,/api/uploads/aviandco/products/audemars-piguet-code-11-59-g026441or-001-1-0d32d6e556bb006f.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26441or-green-dial-g026441or-001
avi-audemars-piguet-code-11-59-26600or-oo-d002cr-01-openworked,mismatch,name;price;reference,"Audemars Piguet Code 11.59 26600OR, 18K Rose Gold, Tourbillon Openworked Dial, 41 mm",Audemars Piguet Code 11.59,Audemars Piguet,NULL,NULL,26600OR.OO.D002CR.01,0,137800.0,3,3,/api/uploads/aviandco/products/26600or-001-1-8355dba890b386f6.jpg,https://www.aviandco.com/audemars-piguet-code-11-59-26600or-oo-d002cr-01-openworked-dial-26600or-001
